NO,Unnamed: 0,NEGARA,2022,2023,2024,JUMLAH
1.0,Hong Kong,,60.065,88.167,99.773,248.005
2.0,Taiwan,,53.471,83.142,84.581,221.194
3.0,Malaysia,,43.125,72.257,51.723,167.105
4.0,Jepang,,5.832,9.673,12.72,28.225
5.0,Singapura,,6.619,7.883,10.819,25.321
6.0,Korea Selatan,,11.571,12.582,10.75,34.903
7.0,Arab Saudi,,4.675,6.29,7.759,18.724
8.0,Italia,,3.583,3.52,3.535,10.638
9.0,Brunei Darussalam,,513.0,2.87,3.183,6.566
10.0,Turki,,1.489,2.29,2.63,6.409
11.0,Polandia,,1.897,1.524,1.32,4.741
12.0,Uni Emirat Arab,,548.0,976.0,1.244,2.768
13.0,Zambia,,110.0,289.0,857.0,1.256
14.0,Qatar,,848.0,307.0,783.0,1.938
15.0,Kuwait,,718.0,427.0,640.0,1.785
16.0,Maladewa,,1.164,718.0,591.0,2.473
17.0,Papua Nugini,,549.0,634.0,456.0,1.639
18.0,Hungaria,,178.0,447.0,427.0,1.052
19.0,Slovakia,,30.0,401.0,404.0,835.0
20.0,Rumania,,288.0,221.0,377.0,886.0
21.0,Kroasia,,0.0,29.0,323.0,352.0
22.0,Selandia Baru,,185.0,335.0,291.0,811.0
23.0,Pulau Solomon,,418.0,374.0,223.0,1.015
24.0,Bulgaria,,29.0,177.0,192.0,398.0
25.0,Persemakmuran Dominika,,0.0,45.0,191.0,236.0
26.0,Lainnya,,2.812,1.53,1.642,5.984
,,Jumlah,200.717,297.108,297.434,795.259
