NO,Unnamed: 0,JABATAN,2022,2023,2024,JUMLAH
1.0,House Maid,,60.564,88.612,100.096,249.272
2.0,Caregiver,,23.098,54.637,52.029,129.764
3.0,Worker,,24.629,22.345,22.527,69.501
4.0,Plantation Worker,,15.328,25.162,20.665,61.155
5.0,Domestic Worker,,6.362,7.799,10.714,24.875
6.0,Construction Worker,,4.417,13.185,8.699,26.301
7.0,Operator Production,,18.896,16.091,8.443,43.43
8.0,Manufacturing Worker,,135.0,4.784,6.7,11.619
9.0,Housekeeper And Family Cook,,703.0,3.263,4.728,8.694
10.0,Fisherman,,6.263,5.958,4.135,16.356
11.0,Elderly Caretaker (Informal),,217.0,2.01,3.833,6.06
12.0,Baby Sitter (Informal),,121.0,1.585,3.675,5.381
13.0,General Worker,,988.0,3.208,2.095,6.291
14.0,Harvester,,1.592,3.098,1.952,6.642
15.0,Spa Therapist,,2.488,3.048,1.918,7.454
16.0,Ships Engineers,,0.0,28.0,1.721,1.749
17.0,Care Worker,,1.222,1.585,1.562,4.369
18.0,Nursing Home,,1.079,1.397,1.467,3.943
19.0,Operator,,9.45,4.726,1.233,15.409
20.0,Agrikultur,,0.0,25.0,1.203,1.228
21.0,Agricultural Labour,,685.0,2.725,1.152,4.562
22.0,Waiter,,1.185,613.0,1.069,2.867
23.0,Agriculture Farming,,817.0,1.108,1.043,2.968
24.0,Female Caregiver,,279.0,427.0,934.0,1.64
25.0,Office And Facility Cleaning Worker,,0.0,26.0,742.0,768.0
26.0,Lainnya,,20.199,29.663,33.099,82.961
,,Jumlah,200.717,297.108,297.434,795.259
